name,product,quantity,unitary_value
Homer J. S.,Product 2,1364,0.55
Winston C,Product 3,663,0.6
Vlad P.,Product 5,2171,0.75
John Doo,Product 6,379,0.8
Winston C,Product 5,555,0.75
D. Trump,Product 10,340,5
Homer J. S.,Product 9,1601,2
Jack S.,Product 7,2154,1
Vlad P.,Product 6,472,0.8
Homer J. S.,Product 2,1902,0.55
John Doo,Product 1,1608,0.5
D. Trump,Product 7,2468,1
Winston C,Product 4,826,0.7
Vlad P.,Product 4,2331,0.7
John Doo,Product 8,873,1.15
D. Trump,Product 5,1697,0.75
Bart S.,Product 8,1875,1.15
Homer J. S.,Product 5,2239,0.75
D. Trump,Product 7,2386,1
Winston C,Product 3,1076,0.6
D. Trump,Product 4,2464,0.7
John Doo,Product 4,1878,0.7
Bart S.,Product 6,43,0.8
Winston C,Product 3,2070,0.6
Jack S.,Product 10,2188,5
Vlad P.,Product 3,2378,0.6
Meliana T.,Product 3,134,0.6
Homer J. S.,Product 1,1167,0.5
Homer J. S.,Product 3,1990,0.6
Meliana T.,Product 6,44,0.8
Winston C,Product 3,572,0.6
Meliana T.,Product 4,2243,0.7
Homer J. S.,Product 6,2439,0.8
Winston C,Product 7,718,1
Vlad P.,Product 10,521,5
Homer J. S.,Product 8,1340,1.15
John Doo,Product 1,1973,0.5
Jack S.,Product 10,2001,5
Vlad P.,Product 10,2120,5
Bart S.,Product 5,137,0.75
Homer J. S.,Product 6,852,0.8
D. Trump,Product 10,1726,5
Jack S.,Product 5,1960,0.75
Homer J. S.,Product 4,966,0.7
Winston C,Product 6,1939,0.8
Meliana T.,Product 3,2399,0.6
Jack S.,Product 1,2309,0.5
John Doo,Product 1,1025,0.5
Jack S.,Product 8,640,1.15
Vlad P.,Product 6,1533,0.8
Winston C,Product 3,2350,0.6
Homer J. S.,Product 2,1150,0.55
Vlad P.,Product 2,63,0.55
John Doo,Product 9,1835,2
D. Trump,Product 1,608,0.5
D. Trump,Product 9,1167,2
Bart S.,Product 3,2172,0.6
Homer J. S.,Product 10,2444,5
Homer J. S.,Product 9,101,2
D. Trump,Product 1,1313,0.5
Bart S.,Product 2,2111,0.55
Bart S.,Product 3,204,0.6
Vlad P.,Product 9,2051,2
D. Trump,Product 4,2367,0.7
Meliana T.,Product 4,1904,0.7
Vlad P.,Product 5,612,0.75
Jack S.,Product 2,215,0.55
Meliana T.,Product 3,1247,0.6
Jack S.,Product 1,2375,0.5
John Doo,Product 10,334,5
Homer J. S.,Product 3,666,0.6
Winston C,Product 6,532,0.8
John Doo,Product 2,1162,0.55
Vlad P.,Product 6,281,0.8
Homer J. S.,Product 1,110,0.5
Bart S.,Product 7,2020,1
Vlad P.,Product 2,936,0.55
Homer J. S.,Product 7,645,1
Winston C,Product 7,184,1
Vlad P.,Product 1,204,0.5
Bart S.,Product 4,1037,0.7
Meliana T.,Product 6,939,0.8
Vlad P.,Product 2,2227,0.55
Meliana T.,Product 7,1103,1
Vlad P.,Product 6,2238,0.8
D. Trump,Product 8,2188,1.15
Bart S.,Product 10,1874,5
Bart S.,Product 9,87,2
Jack S.,Product 7,708,1
Bart S.,Product 1,1617,0.5
Jack S.,Product 1,1637,0.5
Bart S.,Product 8,1041,1.15
Vlad P.,Product 9,693,2
Homer J. S.,Product 3,1283,0.6
Homer J. S.,Product 9,1990,2
Jack S.,Product 3,642,0.6
Jack S.,Product 3,2103,0.6
Jack S.,Product 3,648,0.6
Homer J. S.,Product 3,1422,0.6
John Doo,Product 8,2342,1.15
Bart S.,Product 10,486,5
Meliana T.,Product 8,2472,1.15
Homer J. S.,Product 8,1397,1.15
Homer J. S.,Product 2,1882,0.55
Jack S.,Product 8,1155,1.15
Bart S.,Product 5,1497,0.75
John Doo,Product 1,2058,0.5
D. Trump,Product 1,88,0.5
Jack S.,Product 6,2184,0.8
John Doo,Product 4,2476,0.7
Meliana T.,Product 8,1493,1.15
Jack S.,Product 8,456,1.15
Winston C,Product 8,1229,1.15
D. Trump,Product 7,1513,1
John Doo,Product 7,1313,1
D. Trump,Product 7,1101,1
Vlad P.,Product 1,1257,0.5
Vlad P.,Product 3,1783,0.6
Meliana T.,Product 5,421,0.75
D. Trump,Product 6,2425,0.8
Vlad P.,Product 9,1042,2
Homer J. S.,Product 3,1277,0.6
Vlad P.,Product 7,1380,1
Homer J. S.,Product 8,377,1.15
Jack S.,Product 9,2460,2
Homer J. S.,Product 3,683,0.6
Jack S.,Product 7,739,1
Meliana T.,Product 1,1710,0.5
Vlad P.,Product 2,1493,0.55
Bart S.,Product 7,470,1
Vlad P.,Product 1,1945,0.5
Homer J. S.,Product 3,1063,0.6
Meliana T.,Product 10,1154,5
Homer J. S.,Product 6,1147,0.8
Meliana T.,Product 8,2097,1.15
Bart S.,Product 5,1423,0.75
Meliana T.,Product 4,1634,0.7
Bart S.,Product 10,316,5
Homer J. S.,Product 7,610,1
Winston C,Product 8,791,1.15
Vlad P.,Product 7,113,1
D. Trump,Product 4,1590,0.7
Winston C,Product 6,1022,0.8
Vlad P.,Product 3,2280,0.6
Bart S.,Product 3,900,0.6
Meliana T.,Product 4,1826,0.7
Winston C,Product 3,1263,0.6
Vlad P.,Product 3,2061,0.6
Bart S.,Product 4,2197,0.7
Jack S.,Product 5,1478,0.75
Bart S.,Product 7,597,1
D. Trump,Product 2,991,0.55
Homer J. S.,Product 6,560,0.8
Homer J. S.,Product 4,159,0.7
Vlad P.,Product 7,35,1
Homer J. S.,Product 8,2176,1.15
Homer J. S.,Product 6,1209,0.8
Jack S.,Product 2,773,0.55
John Doo,Product 7,581,1
Vlad P.,Product 10,273,5
Vlad P.,Product 1,853,0.5
Winston C,Product 6,556,0.8
John Doo,Product 2,892,0.55
John Doo,Product 2,1861,0.55
D. Trump,Product 7,1693,1
Jack S.,Product 9,2019,2
Homer J. S.,Product 9,2086,2
D. Trump,Product 6,1909,0.8
Bart S.,Product 4,1234,0.7
John Doo,Product 7,2473,1
Bart S.,Product 3,1057,0.6
Homer J. S.,Product 2,847,0.55
Jack S.,Product 3,2220,0.6
Homer J. S.,Product 5,2477,0.75
Jack S.,Product 4,1895,0.7
Homer J. S.,Product 3,124,0.6
Vlad P.,Product 6,322,0.8
D. Trump,Product 2,1227,0.55
Winston C,Product 2,356,0.55
Homer J. S.,Product 1,2399,0.5
D. Trump,Product 10,912,5
Vlad P.,Product 10,1884,5
Jack S.,Product 2,575,0.55
Winston C,Product 5,2290,0.75
Bart S.,Product 4,2110,0.7
John Doo,Product 8,1657,1.15
Winston C,Product 6,1563,0.8
Winston C,Product 2,1296,0.55
Homer J. S.,Product 5,1095,0.75
Jack S.,Product 3,1760,0.6
Homer J. S.,Product 6,1260,0.8
Bart S.,Product 7,2223,1
Vlad P.,Product 1,852,0.5
Winston C,Product 4,1423,0.7
Jack S.,Product 7,2128,1
John Doo,Product 5,1869,0.75
Bart S.,Product 3,312,0.6
Winston C,Product 3,1428,0.6
D. Trump,Product 2,519,0.55
Meliana T.,Product 6,2063,0.8
Jack S.,Product 1,2317,0.5
Meliana T.,Product 5,450,0.75
Winston C,Product 5,1618,0.75
John Doo,Product 7,1474,1
John Doo,Product 8,2446,1.15
Meliana T.,Product 4,1201,0.7
Meliana T.,Product 9,765,2
Bart S.,Product 2,1334,0.55
Homer J. S.,Product 7,722,1
Homer J. S.,Product 4,458,0.7
Winston C,Product 1,2196,0.5
John Doo,Product 10,1764,5
Homer J. S.,Product 8,2398,1.15
Bart S.,Product 10,1547,5
Meliana T.,Product 10,1157,5
